"","index","province","name","position","link"
"138",138,"湖北","王立山","常委、纪委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201706/29/t20170629_23935292_8.shtml"
"139",139,"湖北","周霁","常委，宜昌市委书记","http://district.ce.cn/newarea/sddy/201706/29/t20170629_23935292_9.shtml"
"140",140,"湖北","王祥喜","常委、政法委书记","http://district.ce.cn/newarea/sddy/201707/27/t20170727_24541700_1.shtml"
"141",141,"湖北","李乐成","常委，襄阳市委书记","http://district.ce.cn/newarea/sddy/201706/29/t20170629_23935292_11.shtml"
"142",142,"湖南","杜家毫","中央候补委员，书记、省人大主任","http://district.ce.cn/newarea/sddy/201612/05/t20161205_18401723.shtml"
"143",143,"湖南","许达哲","中央委员，副书记、省长","http://district.ce.cn/newarea/sddy/201612/05/t20161205_18401723.shtml"
"144",144,"湖南","乌兰<U+00A0>","中央候补委员，副书记<U+00A0>","http://district.ce.cn/newarea/sddy/201611/21/t20161121_17973872_2.shtml"
"145",145,"湖南","陈向群","常委、常务副省长<U+00A0>","http://district.ce.cn/newarea/sddy/201611/21/t20161121_17973872_3.shtml"
"146",146,"湖南","傅奎","常委、省纪委书记","http://district.ce.cn/newarea/sddy/201611/21/t20161121_17975831.shtml"
"147",147,"湖南","黄关春","常委、政法委书记","http://district.ce.cn/newarea/sddy/201707/26/t20170726_24459656_1.shtml"
"148",148,"湖南","黄兰香","常委、统战部长","http://district.ce.cn/newarea/sddy/201611/21/t20161121_17973872_7.shtml"
"149",149,"湖南","王少峰","常委、组织部长<U+00A0>","http://district.ce.cn/newarea/sddy/201611/21/t20161121_17973872_8.shtml"
"150",150,"湖南","蔡振红","常委、宣传部长","http://district.ce.cn/newarea/sddy/201612/27/t20161227_19170526_3.shtml"
"151",151,"湖南","胡衡华","常委，长沙市委书记","http://district.ce.cn/newarea/sddy/201707/28/t20170728_24551507_1.shtml"
"152",152,"湖南","谢建辉","常委、省委秘书长","http://district.ce.cn/newarea/sddy/201707/28/t20170728_24551849_1.shtml"
"153",153,"广东","
            胡春华
            ","中央政治局委员，省委书记","http://district.ce.cn/newarea/sddy/201705/26/t20170526_23247062.shtml"
"154",154,"广东","马兴瑞","中央委员，副书记、省长","http://district.ce.cn/newarea/sddy/201705/26/t20170526_23247062_1.shtml"
"155",155,"广东","任学锋","中央候补委员，副书记、广州市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201705/26/t20170526_23247062_2.shtml"
"156",156,"广东","王伟中","常委、深圳市委书记","http://district.ce.cn/newarea/sddy/201705/26/t20170526_23247062_3.shtml"
"157",157,"广东","慎海雄","常委、宣传部部长<U+00A0>","http://district.ce.cn/newarea/sddy/201705/26/t20170526_23247062_4.shtml"
"158",158,"广东","林少春","常委、常务副省长","http://district.ce.cn/newarea/sddy/201705/26/t20170526_23247062_5.shtml"
"159",159,"广东","邹 铭","常委、组织部长","http://district.ce.cn/newarea/sddy/201705/26/t20170526_23247062_6.shtml"
"160",160,"广东","何忠友","常委、政法委书记","http://district.ce.cn/newarea/sddy/201601/22/t20160122_8466387_1.shtml"
"161",161,"广东","施克辉","常委、纪委书记","http://district.ce.cn/newarea/sddy/201705/26/t20170526_23247062_8.shtml"
"162",162,"广东","江 凌<U+00A0>","常委、秘书长<U+00A0>","http://district.ce.cn/newarea/sddy/201705/26/t20170526_23247062_9.shtml"
"163",163,"广东","曾志权<U+00A0>","常委","http://district.ce.cn/newarea/sddy/201706/03/t20170603_23404892_1.shtml"
"164",164,"广西","彭清华","中央委员、党委书记、人大主任","http://district.ce.cn/newarea/sddy/201611/25/t20161125_18150706.shtml"
